Employee_ID,Name,Department,Years_Experience,Current_Project_ID,Location,Skills
E101,Linda Johnson,DevOps,10.7,,Delhi,"AWS, Real-time Data Processing, Serverless Architecture"
E102,Michael Stevens DDS,Full Stack Dev,11.7,,Chennai,"Data Governance, Scrum Methodology, Blockchain"
E103,Cody Lee,Cloud Engineering,10.3,,Mumbai,"Data Quality Management, Big Data, Data Governance"
E104,Tammy Downs,AI Research,10.9,,Mumbai,"NoSQL Database Management, .Net, GraphQL"
E105,Richard Wilson,Cloud Engineering,7.4,,Chennai,"Data Mesh Architecture, Robotic Process Automation, Scrum Methodology"
E106,Robert Cooley,Cloud Engineering,1.2,,Delhi,"Incident Response, Agile, Data Engineering"
E107,Jose Johnson,DevOps,8.7,,Delhi,"Container Orchestration, Agile, GraphQL API Development"
E108,Nathaniel Fisher,Cloud Engineering,13.1,,Mumbai,"Data Lake Implementation, GraphQL API Development, API Development"
E109,Monica Olson,Full Stack Dev,8.5,,Mumbai,"REST APIs, Network Security, Edge Computing"
E110,Mason Hernandez,Full Stack Dev,8.3,,Chennai,"SQL, Python, Healthcare Analytics"
E111,Hannah Lindsey,DevOps,6.9,,Delhi,"PostgreSQL, Terraform, Data Lake Implementation"
E112,Christopher Jones,AI Research,6.9,,Mumbai,"IoT, Healthcare Analytics, Node.js"
E113,Leslie Petty,Data Science,10.0,,Chennai,"UI/UX Design, NoSQL Database Management, CI/CD Pipelines"
E114,Justin Fuentes,Cloud Engineering,9.7,,Delhi,"Agile, React, Node.js"
E115,Shawn Jones,Cybersecurity,13.6,,Delhi,"Data Privacy Compliance, Cloud Security, Docker"
E116,Kenneth Rodriguez,Cloud Engineering,9.9,,Pune,"Data Visualization, Node.js, Microservices Architecture"
E117,Jennifer Williams,Full Stack Dev,3.9,,Delhi,"TensorFlow, Quantum Computing, Microservices Architecture"
E118,Bryan Banks,Cloud Engineering,7.5,,Pune,"Data Warehousing, TensorFlow, DevOps Practices"
E119,Kathy Fuentes,Cloud Engineering,14.6,,Chennai,"Agile, AWS, PostgreSQL"
E120,Carmen Mendoza,Data Science,12.1,,Delhi,"Microservices Architecture, Scrum, TensorFlow"
E121,Mr. Russell Fields III,Cybersecurity,5.4,,Delhi,"Business Intelligence, Data Governance, Container Orchestration"
E122,Chelsea Smith,Data Science,12.6,,Pune,"Java, .Net, GraphQL"
E123,Carlos Rosales,Cloud Engineering,9.7,,Pune,"Java, Machine Learning, Cloud Security"
E124,Alexander Fisher,DevOps,4.8,,Pune,"Business Intelligence, NoSQL, Data Warehousing"
E125,Ryan White,Data Science,13.7,,Delhi,"Blockchain, React, NLP"
E126,Emily Herrera,DevOps,13.8,,Chennai,"Data Engineering, Big Data, Penetration Testing"
E127,Amanda Salinas,Cybersecurity,1.7,,Mumbai,"Python, .Net, PostgreSQL"
E128,Megan Bailey,Cybersecurity,13.2,,Mumbai,"Real-time Data Processing, Terraform, Data Quality Management"
E129,Robert Mejia,Cloud Engineering,7.6,,Mumbai,"NoSQL Database Management, TensorFlow, Data Quality Management"
E130,Andrew Watson,AI Research,12.3,,Delhi,"Network Security, Data Engineering, CI/CD Pipelines"
E131,Brian Odom,Full Stack Dev,6.7,,Pune,"TensorFlow, Data Privacy Compliance, GraphQL"
E132,Christopher Sanchez,AI Research,9.8,,Delhi,"Python, GraphQL, Microservices"
E133,Jason Gonzalez,Cybersecurity,8.6,,Delhi,"Incident Response, Penetration Testing, Node.js"
E134,William Villanueva,Cloud Engineering,4.6,,Delhi,"Azure, Python, Microservices"
E135,Brittany Mitchell,Cybersecurity,1.4,,Delhi,"Data Warehousing, Edge Computing, Incident Response"
E136,Jocelyn Cook,Cloud Engineering,4.8,,Delhi,"Kubernetes, Agile, Business Intelligence"
E137,Christine Schwartz,DevOps,1.8,,Chennai,"Scrum Methodology, API Development, Healthcare Analytics"
E138,Melissa Lam,DevOps,12.2,,Pune,"Business Intelligence, Terraform, Scrum Methodology"
E139,Hannah Thompson,AI Research,4.7,,Pune,"AWS, NLP, Data Mesh Architecture"
E140,Kaylee Taylor,AI Research,1.3,,Pune,"CI/CD Pipelines, Data Engineering, NoSQL Database Management"
E141,Makayla Garrett,DevOps,7.7,,Mumbai,"Data Warehousing, Healthcare Analytics, Network Security"
E142,Melanie Martinez,Data Science,13.0,,Delhi,"Quantum Computing, Machine Learning, Penetration Testing"
E143,Adrian Gallagher,Cloud Engineering,4.5,,Mumbai,"Microservices Architecture, NLP, Machine Learning"
E144,Nicholas Clay,Cybersecurity,2.0,,Mumbai,"DevOps Practices, Agile, Robotic Process Automation"
E145,Adrian Moore,AI Research,1.3,,Chennai,"Data Privacy Compliance, NoSQL, .Net"
E146,Misty Yoder,DevOps,14.9,,Pune,"CI/CD Pipelines, Microservices, SQL"
E147,Jackie Hall,Full Stack Dev,11.3,,Mumbai,"SQL, Agile, .Net"
E148,Richard Wilcox,Full Stack Dev,5.4,,Delhi,"Data Governance, Mobile Development, Big Data"
E149,Jay Wyatt,DevOps,9.0,,Pune,".Net, SQL Database Management, IoT"
E150,Aaron Howell,Cloud Engineering,6.8,,Pune,"SQL, Microservices, Container Orchestration"
E151,Jacob Wall,Full Stack Dev,13.7,,Chennai,"Business Intelligence, PostgreSQL, Data Mesh Architecture"
E152,Carlos Tyler,Cybersecurity,12.3,,Chennai,"Kubernetes, Edge Computing, NoSQL"
E153,Todd Nichols,Cybersecurity,5.7,,Mumbai,"UI/UX Design, Data Governance, Kubernetes"
E154,Shane Tucker,Cybersecurity,7.6,,Pune,"Business Intelligence, Penetration Testing, Agile"
E155,Richard Robertson,Cybersecurity,11.5,,Mumbai,"Cloud Security, Terraform, Business Intelligence"
E156,Sarah Bradley,Data Science,12.5,,Pune,"Incident Response, Agile, DevOps Practices"
E157,Jill Jimenez,DevOps,5.8,,Pune,"IoT, DevOps Practices, Machine Learning"
E158,Hector Butler,Cloud Engineering,3.3,,Delhi,"SQL, Cybersecurity, NLP"
E159,Carolyn Mccall,Cloud Engineering,2.3,,Chennai,"Terraform, UI/UX Design, Cybersecurity"
E160,Sara Vega,Cybersecurity,9.1,,Pune,"Penetration Testing, Scrum Methodology, CI/CD"
E161,Gavin Castillo,Cybersecurity,5.4,,Mumbai,"REST APIs, Blockchain, Edge Computing"
E162,Wendy Glover,Full Stack Dev,7.5,,Delhi,"Data Warehousing, Data Quality Management, Network Security"
